material-L1,material-L2,phase,stream,idealStream,stratum,kgPerHhPerWk
Paper and cardboard,Books,2,grey bin,recycling bin,urban ££,0.010526315789473684
Paper and cardboard,Books,2,grey bin,recycling bin,urban £££,0.002
Paper and cardboard,Books,2,grey bin,recycling bin,rural £/££,0.018367346938775512
Paper and cardboard,Books,2,grey bin,recycling bin,rural £££,0.10408163265306122
Paper and cardboard,Books,2,recycling bin,recycling bin,urban £,0.0673469387755102
Paper and cardboard,Books,2,recycling bin,recycling bin,urban ££,0.018421052631578946
Paper and cardboard,Books,2,recycling bin,recycling bin,urban £££,0.14
Paper and cardboard,Books,2,recycling bin,recycling bin,rural £/££,0.0
Paper and cardboard,Books,2,recycling bin,recycling bin,rural £££,0.022448979591836737
Paper and cardboard,Yellow Pages/Directories,1,grey bin,recycling bin,urban £,0.0
Paper and cardboard,Yellow Pages/Directories,1,grey bin,recycling bin,urban ££,0.0
Paper and cardboard,Yellow Pages/Directories,1,grey bin,recycling bin,urban £££,0.0
Paper and cardboard,Yellow Pages/Directories,1,grey bin,recycling bin,rural £/££,0.0
Paper and cardboard,Yellow Pages/Directories,1,grey bin,recycling bin,rural £££,0.0
Paper and cardboard,Yellow Pages/Directories,1,recycling bin,recycling bin,urban £,0.018000000000000002
Paper and cardboard,Yellow Pages/Directories,1,recycling bin,recycling bin,urban ££,0.002702702702702703
Paper and cardboard,Yellow Pages/Directories,1,recycling bin,recycling bin,urban £££,0.027659574468085108
Paper and cardboard,Yellow Pages/Directories,1,recycling bin,recycling bin,rural £/££,0.01730769230769231
Paper and cardboard,Yellow Pages/Directories,1,recycling bin,recycling bin,rural £££,0.00980392156862745
Paper and cardboard,Yellow Pages/Directories,2,grey bin,recycling bin,urban £,0.0020408163265306124
Paper and cardboard,Yellow Pages/Directories,2,grey bin,recycling bin,urban ££,0.013157894736842105
Paper and cardboard,Yellow Pages/Directories,2,grey bin,recycling bin,urban £££,0.012
Paper and cardboard,Yellow Pages/Directories,2,grey bin,recycling bin,rural £/££,0.0
Paper and cardboard,Yellow Pages/Directories,2,grey bin,recycling bin,rural £££,0.0
Paper and cardboard,Yellow Pages/Directories,2,recycling bin,recycling bin,urban £,0.024489795918367346
Paper and cardboard,Yellow Pages/Directories,2,recycling bin,recycling bin,urban ££,0.06315789473684211
Paper and cardboard,Yellow Pages/Directories,2,recycling bin,recycling bin,urban £££,0.172
Paper and cardboard,Yellow Pages/Directories,2,recycling bin,recycling bin,rural £/££,0.004081632653061225
Paper and cardboard,Yellow Pages/Directories,2,recycling bin,recycling bin,rural £££,0.0163265306122449
Paper and cardboard,Cardboard beverage packaging / cartons,1,grey bin,recycling site,urban £,0.034
Paper and cardboard,Cardboard beverage packaging / cartons,1,grey bin,recycling site,urban ££,0.02702702702702703
Paper and cardboard,Cardboard beverage packaging / cartons,1,grey bin,recycling site,urban £££,0.02340425531914894
Paper and cardboard,Cardboard beverage packaging / cartons,1,grey bin,recycling site,rural £/££,0.01730769230769231
Paper and cardboard,Cardboard beverage packaging / cartons,1,grey bin,recycling site,rural £££,0.01764705882352941
Paper and cardboard,Cardboard beverage packaging / cartons,1,recycling bin,recycling site,urban £,0.084
Paper and cardboard,Cardboard beverage packaging / cartons,1,recycling bin,recycling site,urban ££,0.016216216216216217
Paper and cardboard,Cardboard beverage packaging / cartons,1,recycling bin,recycling site,urban £££,0.010638297872340425
Paper and cardboard,Cardboard beverage packaging / cartons,1,recycling bin,recycling site,rural £/££,0.011538461538461537
Paper and cardboard,Cardboard beverage packaging / cartons,1,recycling bin,recycling site,rural £££,0.03725490196078431
Paper and cardboard,Cardboard beverage packaging / cartons,2,grey bin,recycling site,urban £,0.02857142857142857
Paper and cardboard,Cardboard beverage packaging / cartons,2,grey bin,recycling site,urban ££,0.02631578947368421
Paper and cardboard,Cardboard beverage packaging / cartons,2,grey bin,recycling site,urban £££,0.034
Paper and cardboard,Cardboard beverage packaging / cartons,2,grey bin,recycling site,rural £/££,0.0326530612244898
Paper and cardboard,Cardboard beverage packaging / cartons,2,grey bin,recycling site,rural £££,0.11428571428571428
Paper and cardboard,Cardboard beverage packaging / cartons,2,recycling bin,recycling site,urban £,0.024489795918367346
Paper and cardboard,Cardboard beverage packaging / cartons,2,recycling bin,recycling site,urban ££,0.013157894736842105
Paper and cardboard,Cardboard beverage packaging / cartons,2,recycling bin,recycling site,urban £££,0.013999999999999999
Paper and cardboard,Cardboard beverage packaging / cartons,2,recycling bin,recycling site,rural £/££,0.012244897959183673
Paper and cardboard,Cardboard beverage packaging / cartons,2,recycling bin,recycling site,rural £££,0.030612244897959183
Metal - ferrous and non-ferrous,Cans - steel,1,grey bin,recycling bin,urban £,0.278
Metal - ferrous and non-ferrous,Cans - steel,1,grey bin,recycling bin,urban ££,0.07297297297297298
Metal - ferrous and non-ferrous,Cans - steel,1,grey bin,recycling bin,urban £££,0.04042553191489361
Metal - ferrous and non-ferrous,Cans - steel,1,grey bin,recycling bin,rural £/££,0.09807692307692308
Metal - ferrous and non-ferrous,Cans - steel,1,grey bin,recycling bin,rural £££,0.06666666666666667
Metal - ferrous and non-ferrous,Cans - steel,1,recycling bin,recycling bin,urban £,0.05
Metal - ferrous and non-ferrous,Cans - steel,1,recycling bin,recycling bin,urban ££,0.03783783783783783
Metal - ferrous and non-ferrous,Cans - steel,1,recycling bin,recycling bin,urban £££,0.07446808510638298
Metal - ferrous and non-ferrous,Cans - steel,1,recycling bin,recycling bin,rural £/££,0.06346153846153846
Metal - ferrous and non-ferrous,Cans - steel,1,recycling bin,recycling bin,rural £££,0.06862745098039216
Metal - ferrous and non-ferrous,Cans - steel,2,grey bin,recycling bin,urban £,0.12448979591836734
Metal - ferrous and non-ferrous,Cans - steel,2,grey bin,recycling bin,urban ££,0.09210526315789473
Metal - ferrous and non-ferrous,Cans - steel,2,grey bin,recycling bin,urban £££,0.054000000000000006
Metal - ferrous and non-ferrous,Cans - steel,2,grey bin,recycling bin,rural £/££,0.10816326530612244
Metal - ferrous and non-ferrous,Cans - steel,2,grey bin,recycling bin,rural £££,0.1
Metal - ferrous and non-ferrous,Cans - steel,2,recycling bin,recycling bin,urban £,0.004081632653061225
Metal - ferrous and non-ferrous,Cans - steel,2,recycling bin,recycling bin,urban ££,0.1131578947368421
Metal - ferrous and non-ferrous,Cans - steel,2,recycling bin,recycling bin,urban £££,0.126
Metal - ferrous and non-ferrous,Cans - steel,2,recycling bin,recycling bin,rural £/££,0.07959183673469387
Metal - ferrous and non-ferrous,Cans - steel,2,recycling bin,recycling bin,rural £££,0.08979591836734695
Metal - ferrous and non-ferrous,Cans - Aluminium,1,grey bin,recycling bin,urban £,0.05
Metal - ferrous and non-ferrous,Cans - Aluminium,1,grey bin,recycling bin,urban ££,0.09189189189189188
Metal - ferrous and non-ferrous,Cans - Aluminium,1,grey bin,recycling bin,urban £££,0.010638297872340425
Metal - ferrous and non-ferrous,Cans - Aluminium,1,grey bin,recycling bin,rural £/££,0.036538461538461534
Metal - ferrous and non-ferrous,Cans - Aluminium,1,grey bin,recycling bin,rural £££,0.027450980392156862
Metal - ferrous and non-ferrous,Cans - Aluminium,1,recycling bin,recycling bin,urban £,0.034
Metal - ferrous and non-ferrous,Cans - Aluminium,1,recycling bin,recycling bin,urban ££,0.02972972972972973
Metal - ferrous and non-ferrous,Cans - Aluminium,1,recycling bin,recycling bin,urban £££,0.03829787234042553
Metal - ferrous and non-ferrous,Cans - Aluminium,1,recycling bin,recycling bin,rural £/££,0.038461538461538464
Metal - ferrous and non-ferrous,Cans - Aluminium,1,recycling bin,recycling bin,rural £££,0.054901960784313725
Metal - ferrous and non-ferrous,Cans - Aluminium,2,grey bin,recycling bin,urban £,0.05102040816326531
Metal - ferrous and non-ferrous,Cans - Aluminium,2,grey bin,recycling bin,urban ££,0.07105263157894737
Metal - ferrous and non-ferrous,Cans - Aluminium,2,grey bin,recycling bin,urban £££,0.02
Metal - ferrous and non-ferrous,Cans - Aluminium,2,grey bin,recycling bin,rural £/££,0.046938775510204075
Metal - ferrous and non-ferrous,Cans - Aluminium,2,grey bin,recycling bin,rural £££,0.0326530612244898
Metal - ferrous and non-ferrous,Cans - Aluminium,2,recycling bin,recycling bin,urban £,0.05306122448979592
Metal - ferrous and non-ferrous,Cans - Aluminium,2,recycling bin,recycling bin,urban ££,0.06315789473684211
Metal - ferrous and non-ferrous,Cans - Aluminium,2,recycling bin,recycling bin,urban £££,0.022000000000000002
Metal - ferrous and non-ferrous,Cans - Aluminium,2,recycling bin,recycling bin,rural £/££,0.036734693877551024
Metal - ferrous and non-ferrous,Cans - Aluminium,2,recycling bin,recycling bin,rural £££,0.02857142857142857
Metal - ferrous and non-ferrous,Aluminium packaging,1,grey bin,recycling site,urban £,0.038
