region,year,material,management,tonnes
Outer Hebrides,2011,Batteries and accumulators wastes,Other Diversion,0
Fife,2011,"Metallic wastes, non-ferrous",Other Diversion,0
East Ayrshire,2011,Batteries and accumulators wastes,Landfilled,0
Outer Hebrides,2011,Batteries and accumulators wastes,Landfilled,0
City of Edinburgh,2011,Batteries and accumulators wastes,Recycled,15
Renfrewshire,2011,Batteries and accumulators wastes,Recycled,6
Moray,2011,Batteries and accumulators wastes,Recycled,8
Dumfries and Galloway,2011,Batteries and accumulators wastes,Landfilled,0
Inverclyde,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Inverclyde,2011,Batteries and accumulators wastes,Recycled,6
East Renfrewshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
Highland,2011,Batteries and accumulators wastes,Other Diversion,0
Orkney Islands,2011,Batteries and accumulators wastes,Other Diversion,0
South Lanarkshire,2011,"Metallic wastes, non-ferrous",Recycled,0
Falkirk,2011,Batteries and accumulators wastes,Other Diversion,0
Perth and Kinross,2011,Batteries and accumulators wastes,Landfilled,0
Aberdeenshire,2011,Batteries and accumulators wastes,Other Diversion,0
Shetland Islands,2011,Batteries and accumulators wastes,Landfilled,0
West Lothian,2011,Batteries and accumulators wastes,Landfilled,0
Perth and Kinross,2011,Batteries and accumulators wastes,Recycled,25
South Ayrshire,2011,Batteries and accumulators wastes,Recycled,143
Aberdeen City,2011,Batteries and accumulators wastes,Other Diversion,0
South Ayrshire,2011,Batteries and accumulators wastes,Landfilled,0
East Dunbartonshire,2011,Batteries and accumulators wastes,Recycled,4
East Dunbartonshire,2011,Batteries and accumulators wastes,Other Diversion,0
Aberdeen City,2011,Batteries and accumulators wastes,Recycled,12
Stirling,2011,"Metallic wastes, non-ferrous",Recycled,0
South Lanarkshire,2011,Batteries and accumulators wastes,Landfilled,0
Stirling,2011,Batteries and accumulators wastes,Landfilled,0
Perth and Kinross,2011,"Metallic wastes, non-ferrous",Recycled,73
Fife,2011,Batteries and accumulators wastes,Recycled,21
Aberdeenshire,2011,Batteries and accumulators wastes,Landfilled,0
Argyll and Bute,2011,Batteries and accumulators wastes,Recycled,5
Clackmannanshire,2011,Batteries and accumulators wastes,Other Diversion,0
East Lothian,2011,Batteries and accumulators wastes,Recycled,11
South Ayrshire,2011,Batteries and accumulators wastes,Other Diversion,0
Falkirk,2011,Batteries and accumulators wastes,Recycled,13
Renfrewshire,2011,Batteries and accumulators wastes,Other Diversion,0
Moray,2011,Batteries and accumulators wastes,Landfilled,0
Aberdeenshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Orkney Islands,2011,Batteries and accumulators wastes,Landfilled,0
Dundee City,2011,Batteries and accumulators wastes,Recycled,10
Angus,2011,Batteries and accumulators wastes,Other Diversion,0
East Renfrewshire,2011,Batteries and accumulators wastes,Landfilled,0
City of Edinburgh,2011,Batteries and accumulators wastes,Other Diversion,0
Moray,2011,Batteries and accumulators wastes,Other Diversion,0
Glasgow City,2011,Batteries and accumulators wastes,Landfilled,0
Midlothian,2011,"Metallic wastes, non-ferrous",Recycled,0
South Lanarkshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
Inverclyde,2011,"Metallic wastes, non-ferrous",Recycled,101
Perth and Kinross,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Aberdeenshire,2011,Batteries and accumulators wastes,Recycled,44
Argyll and Bute,2011,Batteries and accumulators wastes,Landfilled,0
Shetland Islands,2011,Batteries and accumulators wastes,Recycled,0
Stirling,2011,Batteries and accumulators wastes,Recycled,3
Renfrewshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
East Renfrewshire,2011,Batteries and accumulators wastes,Recycled,8
East Lothian,2011,Batteries and accumulators wastes,Landfilled,0
North Lanarkshire,2011,Mixed and undifferentiated materials,Landfilled,0
East Renfrewshire,2011,"Metallic wastes, ferrous",Recycled,7
Moray,2011,Mixed and undifferentiated materials,Landfilled,0
Angus,2011,"Metallic wastes, ferrous",Recycled,0
Scottish Borders,2011,Mixed and undifferentiated materials,Landfilled,0
East Lothian,2011,Mixed and undifferentiated materials,Other Diversion,0
East Lothian,2011,"Metallic wastes, ferrous",Recycled,273
Stirling,2011,Mixed and undifferentiated materials,Landfilled,0
Highland,2011,Mixed and undifferentiated materials,Landfilled,0
Highland,2011,Mixed and undifferentiated materials,Other Diversion,0
Stirling,2011,Mixed and undifferentiated materials,Recycled,149
East Renfrewshire,2011,Mixed and undifferentiated materials,Landfilled,0
Dundee City,2011,"Metallic wastes, ferrous",Landfilled,0
Moray,2011,Mixed and undifferentiated materials,Recycled,14
West Lothian,2011,"Metallic wastes, ferrous",Recycled,0
Clackmannanshire,2011,Mixed and undifferentiated materials,Recycled,0
Dumfries and Galloway,2011,Mixed and undifferentiated materials,Recycled,136
West Dunbartonshire,2011,Mixed and undifferentiated materials,Other Diversion,0
Scottish Borders,2011,Mixed and undifferentiated materials,Other Diversion,0
Fife,2011,Mixed and undifferentiated materials,Recycled,2259
Glasgow City,2011,Mixed and undifferentiated materials,Other Diversion,0
Angus,2011,"Metallic wastes, ferrous",Other Diversion,0
South Lanarkshire,2011,Mixed and undifferentiated materials,Recycled,213
Fife,2011,Mixed and undifferentiated materials,Other Diversion,0
Falkirk,2011,Mixed and undifferentiated materials,Recycled,1333
South Ayrshire,2011,Mixed and undifferentiated materials,Landfilled,0
Orkney Islands,2011,Mixed and undifferentiated materials,Recycled,146
South Ayrshire,2011,Mixed and undifferentiated materials,Recycled,1228
Glasgow City,2011,Mixed and undifferentiated materials,Landfilled,0
West Dunbartonshire,2011,Mixed and undifferentiated materials,Recycled,0
West Dunbartonshire,2011,Mixed and undifferentiated materials,Landfilled,0
West Lothian,2011,"Metallic wastes, ferrous",Other Diversion,0
Orkney Islands,2011,Mixed and undifferentiated materials,Landfilled,0
Glasgow City,2011,Mixed and undifferentiated materials,Recycled,667
South Lanarkshire,2011,Mixed and undifferentiated materials,Other Diversion,0
West Lothian,2011,Mixed and undifferentiated materials,Other Diversion,0
East Dunbartonshire,2011,"Metallic wastes, ferrous",Recycled,0
East Renfrewshire,2011,"Metallic wastes, ferrous",Landfilled,0
Moray,2011,Mixed and undifferentiated materials,Other Diversion,0
Angus,2011,"Metallic wastes, ferrous",Landfilled,0
Falkirk,2011,Mixed and undifferentiated materials,Landfilled,0
Highland,2011,Mixed and undifferentiated materials,Recycled,2601
East Lothian,2011,Mixed and undifferentiated materials,Recycled,675
Dumfries and Galloway,2011,Mixed and undifferentiated materials,Other Diversion,0
Orkney Islands,2011,Mixed and undifferentiated materials,Other Diversion,0
East Dunbartonshire,2011,"Metallic wastes, ferrous",Other Diversion,0
Dundee City,2011,Mixed and undifferentiated materials,Other Diversion,0
Outer Hebrides,2011,Mixed and undifferentiated materials,Landfilled,0
West Dunbartonshire,2011,"Metallic wastes, ferrous",Recycled,65
Angus,2011,Mixed and undifferentiated materials,Other Diversion,0
Aberdeenshire,2011,Mixed and undifferentiated materials,Other Diversion,0
City of Edinburgh,2011,Mixed and undifferentiated materials,Landfilled,0
West Lothian,2011,Mixed and undifferentiated materials,Recycled,408
West Lothian,2011,Mixed and undifferentiated materials,Landfilled,0
Aberdeenshire,2011,Mixed and undifferentiated materials,Recycled,21
