region,year,material,management,tonnes
Angus,2011,"Metallic wastes, non-ferrous",Recycled,0
Shetland Islands,2011,Household and similar wastes,Landfilled,450
Renfrewshire,2011,Household and similar wastes,Other Diversion,0
City of Edinburgh,2011,Household and similar wastes,Recycled,1025
Stirling,2011,Household and similar wastes,Recycled,99
North Ayrshire,2011,Household and similar wastes,Other Diversion,0
Renfrewshire,2011,Mixed and undifferentiated materials,Recycled,1268
Renfrewshire,2011,Mixed and undifferentiated materials,Other Diversion,0
City of Edinburgh,2011,Mixed and undifferentiated materials,Recycled,251
North Ayrshire,2011,Household and similar wastes,Landfilled,32911
Aberdeenshire,2011,Mixed and undifferentiated materials,Landfilled,0
Dundee City,2011,"Metallic wastes, ferrous",Other Diversion,0
East Renfrewshire,2011,Mixed and undifferentiated materials,Recycled,20
Fife,2011,Mixed and undifferentiated materials,Landfilled,0
Argyll and Bute,2011,Mixed and undifferentiated materials,Other Diversion,0
Angus,2011,Mixed and undifferentiated materials,Recycled,8
Dundee City,2011,Mixed and undifferentiated materials,Recycled,0
East Lothian,2011,"Metallic wastes, ferrous",Landfilled,0
West Lothian,2011,"Metallic wastes, ferrous",Landfilled,0
North Lanarkshire,2011,"Metallic wastes, ferrous",Recycled,1290
East Lothian,2011,"Metallic wastes, ferrous",Other Diversion,0
North Ayrshire,2011,Mixed and undifferentiated materials,Other Diversion,0
Perth and Kinross,2011,Mixed and undifferentiated materials,Other Diversion,0
Outer Hebrides,2011,Mixed and undifferentiated materials,Other Diversion,0
Outer Hebrides,2011,Mixed and undifferentiated materials,Recycled,0
City of Edinburgh,2011,"Metallic wastes, ferrous",Landfilled,0
Dundee City,2011,Mixed and undifferentiated materials,Landfilled,0
Argyll and Bute,2011,Mixed and undifferentiated materials,Recycled,2
City of Edinburgh,2011,"Metallic wastes, ferrous",Other Diversion,0
City of Edinburgh,2011,Mixed and undifferentiated materials,Other Diversion,0
Renfrewshire,2011,Mixed and undifferentiated materials,Landfilled,0
Argyll and Bute,2011,Mixed and undifferentiated materials,Landfilled,0
Angus,2011,Mixed and undifferentiated materials,Landfilled,0
Perth and Kinross,2011,Mineral waste from construction and demolition,Landfilled,0
City of Edinburgh,2011,Mineral waste from construction and demolition,Landfilled,0
West Dunbartonshire,2011,Mineral waste from construction and demolition,Landfilled,0
Shetland Islands,2011,Mineral waste from construction and demolition,Recycled,0
Scottish Borders,2011,Mineral waste from construction and demolition,Landfilled,0
Highland,2011,Mineral waste from construction and demolition,Other Diversion,0
East Ayrshire,2011,Mineral waste from construction and demolition,Recycled,711
North Lanarkshire,2011,Mineral waste from construction and demolition,Other Diversion,0
West Lothian,2011,Mineral waste from construction and demolition,Recycled,2098
Midlothian,2011,Mineral waste from construction and demolition,Other Diversion,0
Outer Hebrides,2011,"Metallic wastes, ferrous",Recycled,45
Highland,2011,Mineral waste from construction and demolition,Recycled,8101
Glasgow City,2011,Mineral waste from construction and demolition,Recycled,7478
East Lothian,2011,Mineral waste from construction and demolition,Landfilled,0
Glasgow City,2011,Mineral waste from construction and demolition,Landfilled,0
Renfrewshire,2011,"Metallic wastes, ferrous",Recycled,0
Orkney Islands,2011,Mineral waste from construction and demolition,Recycled,0
East Renfrewshire,2011,"Metallic wastes, ferrous",Other Diversion,0
Shetland Islands,2011,Mineral waste from construction and demolition,Other Diversion,0
Dumfries and Galloway,2011,Mineral waste from construction and demolition,Recycled,4698
Perth and Kinross,2011,Mineral waste from construction and demolition,Other Diversion,0
Argyll and Bute,2011,Mineral waste from construction and demolition,Other Diversion,0
East Lothian,2011,Mineral waste from construction and demolition,Other Diversion,0
East Ayrshire,2011,Mineral waste from construction and demolition,Other Diversion,0
Angus,2011,Mineral waste from construction and demolition,Recycled,1936
North Lanarkshire,2011,Mineral waste from construction and demolition,Recycled,3555
Inverclyde,2011,Mineral waste from construction and demolition,Landfilled,0
Outer Hebrides,2011,Mineral waste from construction and demolition,Landfilled,0
City of Edinburgh,2011,Mineral waste from construction and demolition,Other Diversion,0
North Ayrshire,2011,Mineral waste from construction and demolition,Landfilled,0
Outer Hebrides,2011,Mineral waste from construction and demolition,Recycled,0
Renfrewshire,2011,Mineral waste from construction and demolition,Landfilled,0
Inverclyde,2011,Mineral waste from construction and demolition,Recycled,949
Inverclyde,2011,Mineral waste from construction and demolition,Other Diversion,0
Moray,2011,Mineral waste from construction and demolition,Landfilled,0
Moray,2011,Mineral waste from construction and demolition,Other Diversion,0
Renfrewshire,2011,"Metallic wastes, ferrous",Landfilled,0
North Lanarkshire,2011,Mineral waste from construction and demolition,Landfilled,0
Angus,2011,Mineral waste from construction and demolition,Other Diversion,0
Outer Hebrides,2011,"Metallic wastes, ferrous",Other Diversion,0
Outer Hebrides,2011,"Metallic wastes, ferrous",Landfilled,0
Midlothian,2011,Mineral waste from construction and demolition,Landfilled,0
East Ayrshire,2011,Mineral waste from construction and demolition,Landfilled,0
Renfrewshire,2011,Mineral waste from construction and demolition,Other Diversion,0
Midlothian,2011,Mineral waste from construction and demolition,Recycled,1370
North Lanarkshire,2011,Mixed and undifferentiated materials,Other Diversion,0
North Lanarkshire,2011,Mixed and undifferentiated materials,Recycled,0
Aberdeen City,2011,Mixed and undifferentiated materials,Other Diversion,0
Shetland Islands,2011,Mixed and undifferentiated materials,Other Diversion,0
Inverclyde,2011,Mixed and undifferentiated materials,Recycled,197
Aberdeen City,2011,Mixed and undifferentiated materials,Recycled,16
Shetland Islands,2011,Mixed and undifferentiated materials,Recycled,112
Perth and Kinross,2011,Mixed and undifferentiated materials,Recycled,167
Shetland Islands,2011,Mixed and undifferentiated materials,Landfilled,0
East Lothian,2011,Mixed and undifferentiated materials,Landfilled,0
Aberdeen City,2011,Mixed and undifferentiated materials,Landfilled,0
Dumfries and Galloway,2011,Mixed and undifferentiated materials,Landfilled,0
Dundee City,2011,"Metallic wastes, ferrous",Recycled,14
North Ayrshire,2011,Mixed and undifferentiated materials,Recycled,1481
South Lanarkshire,2011,Mixed and undifferentiated materials,Landfilled,0
North Ayrshire,2011,Mixed and undifferentiated materials,Landfilled,0
East Dunbartonshire,2011,"Metallic wastes, ferrous",Landfilled,0
Inverclyde,2011,Mixed and undifferentiated materials,Other Diversion,0
South Ayrshire,2011,Mixed and undifferentiated materials,Other Diversion,0
Clackmannanshire,2011,Mixed and undifferentiated materials,Landfilled,0
East Renfrewshire,2011,Mixed and undifferentiated materials,Other Diversion,0
Perth and Kinross,2011,Mixed and undifferentiated materials,Landfilled,0
Clackmannanshire,2011,Mixed and undifferentiated materials,Other Diversion,0
Fife,2011,"Metallic wastes, ferrous",Recycled,204
Falkirk,2011,Mixed and undifferentiated materials,Other Diversion,0
East Ayrshire,2011,Mixed and undifferentiated materials,Recycled,373
Midlothian,2011,Mixed and undifferentiated materials,Landfilled,0
Stirling,2011,Mixed and undifferentiated materials,Other Diversion,0
Scottish Borders,2011,Mineral waste from construction and demolition,Recycled,1285
Scottish Borders,2011,Mineral waste from construction and demolition,Other Diversion,0
Argyll and Bute,2011,Mineral waste from construction and demolition,Recycled,613
Midlothian,2011,Mixed and undifferentiated materials,Other Diversion,0
Dundee City,2011,Mineral waste from construction and demolition,Other Diversion,0
Fife,2011,"Metallic wastes, ferrous",Landfilled,0
East Dunbartonshire,2011,Mixed and undifferentiated materials,Other Diversion,0
City of Edinburgh,2011,"Metallic wastes, ferrous",Recycled,411
Renfrewshire,2011,"Metallic wastes, ferrous",Other Diversion,0
East Ayrshire,2011,Mixed and undifferentiated materials,Landfilled,0
Inverclyde,2011,Mixed and undifferentiated materials,Landfilled,0
East Dunbartonshire,2011,Mixed and undifferentiated materials,Landfilled,0
Midlothian,2011,Mixed and undifferentiated materials,Recycled,4
Scottish Borders,2011,Mixed and undifferentiated materials,Recycled,103
East Dunbartonshire,2011,Mixed and undifferentiated materials,Recycled,1260
East Ayrshire,2011,Mixed and undifferentiated materials,Other Diversion,0
West Dunbartonshire,2011,Vegetal wastes,Other Diversion,24
West Lothian,2011,Vegetal wastes,Other Diversion,134
East Lothian,2011,"Metallic wastes, non-ferrous",Landfilled,0
Glasgow City,2011,Vegetal wastes,Recycled,18202
Dundee City,2011,Vegetal wastes,Recycled,7088
Fife,2011,Vegetal wastes,Recycled,32796
Orkney Islands,2011,Vegetal wastes,Landfilled,0
Moray,2011,"Metallic wastes, non-ferrous",Recycled,0
West Lothian,2011,Vegetal wastes,Landfilled,0
Glasgow City,2011,Vegetal wastes,Landfilled,0
Dundee City,2011,Vegetal wastes,Landfilled,0
Falkirk,2011,Vegetal wastes,Recycled,13230
South Ayrshire,2011,Vegetal wastes,Recycled,11176
Perth and Kinross,2011,"Metallic wastes, non-ferrous",Landfilled,0
Angus,2011,Vegetal wastes,Landfilled,0
Highland,2011,Vegetal wastes,Recycled,18552
Shetland Islands,2011,Vegetal wastes,Other Diversion,311
Renfrewshire,2011,Vegetal wastes,Other Diversion,0
City of Edinburgh,2011,"Metallic wastes, non-ferrous",Landfilled,0
North Ayrshire,2011,Vegetal wastes,Recycled,10421
East Renfrewshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Scottish Borders,2011,"Metallic wastes, non-ferrous",Recycled,80
South Ayrshire,2011,"Metallic wastes, non-ferrous",Recycled,8
Orkney Islands,2011,"Metallic wastes, non-ferrous",Recycled,13
South Ayrshire,2011,Household and similar wastes,Recycled,0
Glasgow City,2011,Household and similar wastes,Landfilled,183691
Scottish Borders,2011,Household and similar wastes,Landfilled,28688
Highland,2011,Household and similar wastes,Recycled,1001
Midlothian,2011,Household and similar wastes,Recycled,0
Perth and Kinross,2011,Household and similar wastes,Landfilled,38028
Outer Hebrides,2011,Household and similar wastes,Landfilled,12118
Dumfries and Galloway,2011,Household and similar wastes,Landfilled,34886
Falkirk,2011,Household and similar wastes,Other Diversion,0
North Lanarkshire,2011,Household and similar wastes,Other Diversion,94
Scottish Borders,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Argyll and Bute,2011,Vegetal wastes,Recycled,810
Renfrewshire,2011,Household and similar wastes,Landfilled,45181
East Dunbartonshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
Outer Hebrides,2011,Vegetal wastes,Recycled,0
North Ayrshire,2011,Vegetal wastes,Landfilled,0
Scottish Borders,2011,Household and similar wastes,Recycled,0
Aberdeen City,2011,Household and similar wastes,Other Diversion,0
Midlothian,2011,"Metallic wastes, non-ferrous",Other Diversion,0
City of Edinburgh,2011,Household and similar wastes,Landfilled,130590
Highland,2011,Household and similar wastes,Other Diversion,0
Aberdeenshire,2011,Vegetal wastes,Other Diversion,0
East Dunbartonshire,2011,Vegetal wastes,Landfilled,0
Renfrewshire,2011,Vegetal wastes,Recycled,9723
West Lothian,2011,Vegetal wastes,Recycled,10524
Stirling,2011,Vegetal wastes,Recycled,10045
Falkirk,2011,"Metallic wastes, non-ferrous",Landfilled,0
Glasgow City,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Perth and Kinross,2011,Vegetal wastes,Other Diversion,744
East Lothian,2011,Vegetal wastes,Landfilled,0
Dundee City,2011,"Metallic wastes, non-ferrous",Recycled,29
West Lothian,2011,"Metallic wastes, non-ferrous",Landfilled,0
North Lanarkshire,2011,Vegetal wastes,Recycled,16648
Aberdeenshire,2011,Vegetal wastes,Landfilled,0
Clackmannanshire,2011,Vegetal wastes,Other Diversion,0
East Renfrewshire,2011,Vegetal wastes,Recycled,9194
Midlothian,2011,Vegetal wastes,Recycled,7885
West Dunbartonshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
North Lanarkshire,2011,Vegetal wastes,Other Diversion,122
East Dunbartonshire,2011,Vegetal wastes,Other Diversion,1260
East Renfrewshire,2011,Vegetal wastes,Other Diversion,69
East Renfrewshire,2011,Vegetal wastes,Landfilled,0
Stirling,2011,Vegetal wastes,Landfilled,0
Perth and Kinross,2011,Vegetal wastes,Landfilled,0
Glasgow City,2011,Vegetal wastes,Other Diversion,0
Falkirk,2011,"Metallic wastes, non-ferrous",Other Diversion,0
South Ayrshire,2011,Vegetal wastes,Landfilled,0
South Lanarkshire,2011,Vegetal wastes,Other Diversion,399
Moray,2011,Vegetal wastes,Other Diversion,0
South Ayrshire,2011,Vegetal wastes,Other Diversion,1355
City of Edinburgh,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Dundee City,2011,"Metallic wastes, non-ferrous",Landfilled,0
Fife,2011,Vegetal wastes,Other Diversion,901
Highland,2011,Vegetal wastes,Other Diversion,1243
Argyll and Bute,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Dundee City,2011,Vegetal wastes,Other Diversion,0
East Lothian,2011,Vegetal wastes,Recycled,9209
Argyll and Bute,2011,Vegetal wastes,Other Diversion,730
Glasgow City,2011,"Metallic wastes, non-ferrous",Landfilled,0
Stirling,2011,Vegetal wastes,Other Diversion,0
Moray,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Inverclyde,2011,Vegetal wastes,Landfilled,0
East Lothian,2011,Vegetal wastes,Other Diversion,0
Highland,2011,Vegetal wastes,Landfilled,0
North Ayrshire,2011,Vegetal wastes,Other Diversion,81
Scottish Borders,2011,"Metallic wastes, non-ferrous",Landfilled,0
Angus,2011,Vegetal wastes,Recycled,10656
Falkirk,2011,"Metallic wastes, non-ferrous",Recycled,0
Moray,2011,Household and similar wastes,Recycled,158
Clackmannanshire,2011,Household and similar wastes,Other Diversion,0
Angus,2011,Household and similar wastes,Other Diversion,0
East Renfrewshire,2011,"Metallic wastes, non-ferrous",Recycled,18
East Renfrewshire,2011,Household and similar wastes,Landfilled,20744
Moray,2011,Household and similar wastes,Landfilled,28996
Angus,2011,"Metallic wastes, non-ferrous",Landfilled,0
Aberdeenshire,2011,Household and similar wastes,Landfilled,98318
East Lothian,2011,"Metallic wastes, non-ferrous",Recycled,43
Midlothian,2011,"Metallic wastes, non-ferrous",Landfilled,0
South Lanarkshire,2011,Household and similar wastes,Landfilled,105640
Moray,2011,Household and similar wastes,Other Diversion,0
Shetland Islands,2011,Household and similar wastes,Recycled,46
West Lothian,2011,Household and similar wastes,Recycled,277
South Lanarkshire,2011,Household and similar wastes,Recycled,0
North Lanarkshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Fife,2011,Household and similar wastes,Landfilled,98593
Orkney Islands,2011,Household and similar wastes,Recycled,0
Argyll and Bute,2011,"Metallic wastes, non-ferrous",Landfilled,0
Outer Hebrides,2011,Household and similar wastes,Other Diversion,0
Stirling,2011,Household and similar wastes,Landfilled,20484
Falkirk,2011,Household and similar wastes,Landfilled,36969
East Ayrshire,2011,Household and similar wastes,Other Diversion,0
East Lothian,2011,Household and similar wastes,Other Diversion,1619
South Ayrshire,2011,Household and similar wastes,Landfilled,30279
East Ayrshire,2011,Household and similar wastes,Recycled,48
East Ayrshire,2011,Household and similar wastes,Landfilled,32510
Shetland Islands,2011,Household and similar wastes,Other Diversion,0
Orkney Islands,2011,Household and similar wastes,Other Diversion,0
Outer Hebrides,2011,Household and similar wastes,Recycled,0
West Dunbartonshire,2011,Household and similar wastes,Recycled,635
Angus,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Highland,2011,Household and similar wastes,Landfilled,68695
Fife,2011,Household and similar wastes,Recycled,1269
Perth and Kinross,2011,Household and similar wastes,Recycled,2
