region,year,material,tonnes
East Dunbartonshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",14
North Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",454
Offshore,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",87
Glasgow City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1334
North Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",816
East Lothian,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",24
Argyll and Bute,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",511
Angus,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",348
Dumfries and Galloway,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",549
Shetland Islands,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",21
Stirling,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",195
South Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",813
Perth and Kinross,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",543
East Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",175
Outer Hebrides,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",46
Inverclyde,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",156
Highland,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",2814
Midlothian,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",126
Orkney Islands,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",106
Aberdeen City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1130
Scottish Borders,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",239
West Dunbartonshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",66
Clackmannanshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",119
Moray,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",215
West Lothian,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",395
Dundee City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1950
Unknown,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",0
Falkirk,2011,Discarded vehicles,1219
South Ayrshire,2011,Discarded vehicles,3397
Aberdeenshire,2011,Discarded vehicles,778
Renfrewshire,2011,Discarded vehicles,671
East Renfrewshire,2011,Discarded vehicles,120
Fife,2011,Discarded vehicles,15849
City of Edinburgh,2011,Discarded vehicles,694
East Dunbartonshire,2011,Discarded vehicles,190
North Ayrshire,2011,Discarded vehicles,1027
Offshore,2011,Discarded vehicles,0
Glasgow City,2011,Discarded vehicles,10513
North Lanarkshire,2011,Discarded vehicles,4073
East Lothian,2011,Discarded vehicles,397
Argyll and Bute,2011,Discarded vehicles,131
Angus,2011,Discarded vehicles,734
Dumfries and Galloway,2011,Discarded vehicles,2518
Shetland Islands,2011,Discarded vehicles,273
Stirling,2011,Discarded vehicles,516
South Lanarkshire,2011,Discarded vehicles,1228
Perth and Kinross,2011,Discarded vehicles,960
East Ayrshire,2011,Discarded vehicles,2248
Outer Hebrides,2011,Discarded vehicles,207
Inverclyde,2011,Discarded vehicles,324
Highland,2011,Discarded vehicles,2534
Midlothian,2011,Discarded vehicles,497
Orkney Islands,2011,Discarded vehicles,432
Aberdeen City,2011,Discarded vehicles,762
Scottish Borders,2011,Discarded vehicles,1593
West Dunbartonshire,2011,Discarded vehicles,837
Clackmannanshire,2011,Discarded vehicles,46
Moray,2011,Discarded vehicles,593
West Lothian,2011,Discarded vehicles,329
Dundee City,2011,Discarded vehicles,1686
Unknown,2011,Discarded vehicles,0
Falkirk,2011,Batteries and accumulators wastes,7
South Ayrshire,2011,Batteries and accumulators wastes,1002
Aberdeenshire,2011,Batteries and accumulators wastes,453
Renfrewshire,2011,Batteries and accumulators wastes,8
East Renfrewshire,2011,Batteries and accumulators wastes,3
Fife,2011,Batteries and accumulators wastes,47
City of Edinburgh,2011,Batteries and accumulators wastes,33
East Dunbartonshire,2011,Batteries and accumulators wastes,0
North Ayrshire,2011,Batteries and accumulators wastes,26
Offshore,2011,Batteries and accumulators wastes,31
Glasgow City,2011,Batteries and accumulators wastes,865
North Lanarkshire,2011,Batteries and accumulators wastes,528
East Lothian,2011,Batteries and accumulators wastes,2
Argyll and Bute,2011,Batteries and accumulators wastes,40
Angus,2011,Batteries and accumulators wastes,95
Dumfries and Galloway,2011,Batteries and accumulators wastes,2940
Shetland Islands,2011,Batteries and accumulators wastes,13
Stirling,2011,Batteries and accumulators wastes,38
South Lanarkshire,2011,Batteries and accumulators wastes,868
Perth and Kinross,2011,Batteries and accumulators wastes,201
East Ayrshire,2011,Batteries and accumulators wastes,311
Outer Hebrides,2011,Batteries and accumulators wastes,11
Inverclyde,2011,Batteries and accumulators wastes,2
Highland,2011,Batteries and accumulators wastes,309
Midlothian,2011,Batteries and accumulators wastes,5
Orkney Islands,2011,Batteries and accumulators wastes,23
Aberdeen City,2011,Batteries and accumulators wastes,2043
Scottish Borders,2011,Batteries and accumulators wastes,3
West Dunbartonshire,2011,Batteries and accumulators wastes,17
Clackmannanshire,2011,Batteries and accumulators wastes,1
Moray,2011,Batteries and accumulators wastes,207
West Lothian,2011,Batteries and accumulators wastes,113
Dundee City,2011,Batteries and accumulators wastes,253
Unknown,2011,Batteries and accumulators wastes,0
Falkirk,2011,Animal and mixed food waste,1022
South Ayrshire,2011,Animal and mixed food waste,4
Aberdeenshire,2011,Animal and mixed food waste,74210
Renfrewshire,2011,Animal and mixed food waste,108
East Renfrewshire,2011,Animal and mixed food waste,0
Fife,2011,Animal and mixed food waste,5604
City of Edinburgh,2011,Animal and mixed food waste,1238
East Dunbartonshire,2011,Animal and mixed food waste,0
North Ayrshire,2011,Animal and mixed food waste,1370
Offshore,2011,Animal and mixed food waste,271
Glasgow City,2011,Animal and mixed food waste,4080
North Lanarkshire,2011,Animal and mixed food waste,17611
East Lothian,2011,Animal and mixed food waste,0
Argyll and Bute,2011,Animal and mixed food waste,862
Angus,2011,Animal and mixed food waste,450
Dumfries and Galloway,2011,Animal and mixed food waste,42
Shetland Islands,2011,Animal and mixed food waste,640
Stirling,2011,Animal and mixed food waste,173
South Lanarkshire,2011,Animal and mixed food waste,2784
Perth and Kinross,2011,Animal and mixed food waste,3614
East Ayrshire,2011,Animal and mixed food waste,71
Outer Hebrides,2011,Animal and mixed food waste,1080
Inverclyde,2011,Animal and mixed food waste,199
Highland,2011,Animal and mixed food waste,354
Midlothian,2011,Animal and mixed food waste,64
Orkney Islands,2011,Animal and mixed food waste,12
Aberdeen City,2011,Animal and mixed food waste,447
Scottish Borders,2011,Animal and mixed food waste,1580
West Dunbartonshire,2011,Animal and mixed food waste,48
Clackmannanshire,2011,Animal and mixed food waste,1
Moray,2011,Animal and mixed food waste,437
West Lothian,2011,Animal and mixed food waste,3017
Dundee City,2011,Animal and mixed food waste,13
Unknown,2011,Animal and mixed food waste,0
Falkirk,2011,Vegetal wastes,8271
South Ayrshire,2011,Vegetal wastes,792
Aberdeenshire,2011,Vegetal wastes,32232
Renfrewshire,2011,Vegetal wastes,14063
East Renfrewshire,2011,Vegetal wastes,1277
Fife,2011,Vegetal wastes,21685
City of Edinburgh,2011,Vegetal wastes,4864
East Dunbartonshire,2011,Vegetal wastes,14748
North Ayrshire,2011,Vegetal wastes,4271
Offshore,2011,Vegetal wastes,0
Glasgow City,2011,Vegetal wastes,26217
North Lanarkshire,2011,Vegetal wastes,4155
East Lothian,2011,Vegetal wastes,1196
Argyll and Bute,2011,Vegetal wastes,3408
Angus,2011,Vegetal wastes,3764
Dumfries and Galloway,2011,Vegetal wastes,8381
Shetland Islands,2011,Vegetal wastes,35
Stirling,2011,Vegetal wastes,19376
South Lanarkshire,2011,Vegetal wastes,1514
Perth and Kinross,2011,Vegetal wastes,6366
East Ayrshire,2011,Vegetal wastes,2402
Outer Hebrides,2011,Vegetal wastes,410
Inverclyde,2011,Vegetal wastes,2542
Highland,2011,Vegetal wastes,71730
Midlothian,2011,Vegetal wastes,12132
Orkney Islands,2011,Vegetal wastes,24983
Aberdeen City,2011,Vegetal wastes,2503
Scottish Borders,2011,Vegetal wastes,3793
West Dunbartonshire,2011,Vegetal wastes,1331
Clackmannanshire,2011,Vegetal wastes,4546
Moray,2011,Vegetal wastes,44008
West Lothian,2011,Vegetal wastes,9048
Dundee City,2011,Vegetal wastes,3987
Unknown,2011,Vegetal wastes,0
Falkirk,2011,"Animal faeces, urine and manure",0
South Ayrshire,2011,"Animal faeces, urine and manure",0
Aberdeenshire,2011,"Animal faeces, urine and manure",0
Renfrewshire,2011,"Animal faeces, urine and manure",0
East Renfrewshire,2011,"Animal faeces, urine and manure",0
Fife,2011,"Animal faeces, urine and manure",119451
City of Edinburgh,2011,"Animal faeces, urine and manure",29
East Dunbartonshire,2011,"Animal faeces, urine and manure",0
North Ayrshire,2011,"Animal faeces, urine and manure",9133
Offshore,2011,"Animal faeces, urine and manure",0
Glasgow City,2011,"Animal faeces, urine and manure",0
North Lanarkshire,2011,"Animal faeces, urine and manure",0
East Lothian,2011,"Animal faeces, urine and manure",0
Argyll and Bute,2011,"Animal faeces, urine and manure",0
Angus,2011,"Animal faeces, urine and manure",0
Dumfries and Galloway,2011,"Animal faeces, urine and manure",0
Shetland Islands,2011,"Animal faeces, urine and manure",0
Stirling,2011,"Animal faeces, urine and manure",0
South Lanarkshire,2011,"Animal faeces, urine and manure",0
Perth and Kinross,2011,"Animal faeces, urine and manure",0
East Ayrshire,2011,"Animal faeces, urine and manure",0
Outer Hebrides,2011,"Animal faeces, urine and manure",4
Inverclyde,2011,"Animal faeces, urine and manure",0
Highland,2011,"Animal faeces, urine and manure",0
Midlothian,2011,"Animal faeces, urine and manure",1
Orkney Islands,2011,"Animal faeces, urine and manure",0
Aberdeen City,2011,"Animal faeces, urine and manure",0
Scottish Borders,2011,"Animal faeces, urine and manure",0
West Dunbartonshire,2011,"Animal faeces, urine and manure",0
Clackmannanshire,2011,"Animal faeces, urine and manure",0
Moray,2011,"Animal faeces, urine and manure",0
West Lothian,2011,"Animal faeces, urine and manure",0
Dundee City,2011,"Animal faeces, urine and manure",0
Unknown,2011,"Animal faeces, urine and manure",0
Falkirk,2011,Household and similar wastes,51051
South Ayrshire,2011,Household and similar wastes,1356
Aberdeenshire,2011,Household and similar wastes,45991
Renfrewshire,2011,Household and similar wastes,5961
East Renfrewshire,2011,Household and similar wastes,2578
Fife,2011,Household and similar wastes,86377
City of Edinburgh,2011,Household and similar wastes,154870
East Dunbartonshire,2011,Household and similar wastes,2043
North Ayrshire,2011,Household and similar wastes,23002
Offshore,2011,Household and similar wastes,1659
Glasgow City,2011,Household and similar wastes,199509
North Lanarkshire,2011,Household and similar wastes,73872
East Lothian,2011,Household and similar wastes,59930
Argyll and Bute,2011,Household and similar wastes,15482
Angus,2011,Household and similar wastes,8583
Dumfries and Galloway,2011,Household and similar wastes,43251
Shetland Islands,2011,Household and similar wastes,5087
Stirling,2011,Household and similar wastes,34410
South Lanarkshire,2011,Household and similar wastes,36464
Perth and Kinross,2011,Household and similar wastes,40667
East Ayrshire,2011,Household and similar wastes,13464
Outer Hebrides,2011,Household and similar wastes,5940
Inverclyde,2011,Household and similar wastes,9906
Highland,2011,Household and similar wastes,62531
Midlothian,2011,Household and similar wastes,1523
Orkney Islands,2011,Household and similar wastes,5365
Aberdeen City,2011,Household and similar wastes,77090
Scottish Borders,2011,Household and similar wastes,21580
West Dunbartonshire,2011,Household and similar wastes,6818
Clackmannanshire,2011,Household and similar wastes,3461
Moray,2011,Household and similar wastes,12541
West Lothian,2011,Household and similar wastes,113158
Dundee City,2011,Household and similar wastes,30974
Unknown,2011,Household and similar wastes,0
Falkirk,2011,Mixed and undifferentiated materials,14242
South Ayrshire,2011,Mixed and undifferentiated materials,451
Aberdeenshire,2011,Mixed and undifferentiated materials,7110
Renfrewshire,2011,Mixed and undifferentiated materials,2137
East Renfrewshire,2011,Mixed and undifferentiated materials,86
Fife,2011,Mixed and undifferentiated materials,21395
City of Edinburgh,2011,Mixed and undifferentiated materials,1315
East Dunbartonshire,2011,Mixed and undifferentiated materials,1
North Ayrshire,2011,Mixed and undifferentiated materials,12157
Offshore,2011,Mixed and undifferentiated materials,773
Glasgow City,2011,Mixed and undifferentiated materials,9426
North Lanarkshire,2011,Mixed and undifferentiated materials,284
East Lothian,2011,Mixed and undifferentiated materials,22423
Argyll and Bute,2011,Mixed and undifferentiated materials,284
Angus,2011,Mixed and undifferentiated materials,3000
Dumfries and Galloway,2011,Mixed and undifferentiated materials,8632
Shetland Islands,2011,Mixed and undifferentiated materials,90
Stirling,2011,Mixed and undifferentiated materials,628
South Lanarkshire,2011,Mixed and undifferentiated materials,535
Perth and Kinross,2011,Mixed and undifferentiated materials,6116
East Ayrshire,2011,Mixed and undifferentiated materials,7294
Outer Hebrides,2011,Mixed and undifferentiated materials,246
Inverclyde,2011,Mixed and undifferentiated materials,83
Highland,2011,Mixed and undifferentiated materials,770
Midlothian,2011,Mixed and undifferentiated materials,96
Orkney Islands,2011,Mixed and undifferentiated materials,187
Aberdeen City,2011,Mixed and undifferentiated materials,20716
Scottish Borders,2011,Mixed and undifferentiated materials,289
West Dunbartonshire,2011,Mixed and undifferentiated materials,1728
Clackmannanshire,2011,Mixed and undifferentiated materials,1122
Moray,2011,Mixed and undifferentiated materials,169
West Lothian,2011,Mixed and undifferentiated materials,3936
Dundee City,2011,Mixed and undifferentiated materials,895
Unknown,2011,Mixed and undifferentiated materials,0
Falkirk,2011,Sorting residues,23
South Ayrshire,2011,Sorting residues,272
Aberdeenshire,2011,Sorting residues,0
Renfrewshire,2011,Sorting residues,0
East Renfrewshire,2011,Sorting residues,0
Fife,2011,Sorting residues,0
City of Edinburgh,2011,Sorting residues,0
East Dunbartonshire,2011,Sorting residues,0
North Ayrshire,2011,Sorting residues,0
Offshore,2011,Sorting residues,0
Glasgow City,2011,Sorting residues,160
North Lanarkshire,2011,Sorting residues,51
East Lothian,2011,Sorting residues,0
Argyll and Bute,2011,Sorting residues,0
Angus,2011,Sorting residues,0
Dumfries and Galloway,2011,Sorting residues,0
Shetland Islands,2011,Sorting residues,0
Stirling,2011,Sorting residues,0
South Lanarkshire,2011,Sorting residues,0
Perth and Kinross,2011,Sorting residues,0
East Ayrshire,2011,Sorting residues,0
Outer Hebrides,2011,Sorting residues,0
Inverclyde,2011,Sorting residues,0
Highland,2011,Sorting residues,0
Midlothian,2011,Sorting residues,0
Orkney Islands,2011,Sorting residues,0
Aberdeen City,2011,Sorting residues,0
Scottish Borders,2011,Sorting residues,0
West Dunbartonshire,2011,Sorting residues,0
Clackmannanshire,2011,Sorting residues,0
Moray,2011,Sorting residues,0
West Lothian,2011,Sorting residues,115
Dundee City,2011,Sorting residues,0
Unknown,2011,Sorting residues,0
Falkirk,2011,Common sludges,17966
South Ayrshire,2011,Common sludges,4910
Aberdeenshire,2011,Common sludges,880
Renfrewshire,2011,Common sludges,303
East Renfrewshire,2011,Common sludges,83
Fife,2011,Common sludges,18561
City of Edinburgh,2011,Common sludges,151
East Dunbartonshire,2011,Common sludges,1
North Ayrshire,2011,Common sludges,7203
Offshore,2011,Common sludges,0
Glasgow City,2011,Common sludges,33172
North Lanarkshire,2011,Common sludges,330
East Lothian,2011,Common sludges,5802
Argyll and Bute,2011,Common sludges,3738
Angus,2011,Common sludges,7400
Dumfries and Galloway,2011,Common sludges,5717
Shetland Islands,2011,Common sludges,122
Stirling,2011,Common sludges,1143
South Lanarkshire,2011,Common sludges,175
Perth and Kinross,2011,Common sludges,12864
East Ayrshire,2011,Common sludges,4756
Outer Hebrides,2011,Common sludges,9
Inverclyde,2011,Common sludges,6304
Highland,2011,Common sludges,7866
Midlothian,2011,Common sludges,190
Orkney Islands,2011,Common sludges,0
Aberdeen City,2011,Common sludges,100
Scottish Borders,2011,Common sludges,4735
West Dunbartonshire,2011,Common sludges,1042
Clackmannanshire,2011,Common sludges,7
